,County,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT JJA Daily Av. High,WBGT JJA Daily Av. Low
0,"Adams County, IL",17001.0,21,14,0,0,76.31787046236664,64.86006905527101
1,"Alexander County, IL",17003.0,23,11,0,0,78.26822202476853,68.46180468566128
2,"Bond County, IL",17005.0,17,9,0,0,76.77756722062686,66.22769258666244
3,"Boone County, IL",17007.0,4,3,0,0,72.73451929538327,60.89082266886477
4,"Brown County, IL",17009.0,20,16,0,0,76.28915984808309,64.58550758754465
5,"Bureau County, IL",17011.0,10,8,0,0,74.40748117648424,62.52700610434331
6,"Calhoun County, IL",17013.0,22,20,0,0,77.02937656541492,66.18017031599565
7,"Carroll County, IL",17015.0,9,4,0,0,73.64765594826733,61.814569470408806
8,"Cass County, IL",17017.0,22,18,0,0,76.28891166302627,64.57013971661628
9,"Champaign County, IL",17019.0,6,2,0,0,75.02212705941193,63.2624093374403
10,"Christian County, IL",17021.0,13,5,0,0,76.03748306500785,64.42999252796898
11,"Clark County, IL",17023.0,5,0,0,0,75.77028451813483,64.63916595327694
12,"Clay County, IL",17025.0,14,5,0,0,76.72765216456048,66.04678520109049
13,"Clinton County, IL",17027.0,21,10,0,0,77.14101970435857,66.89541619091658
14,"Coles County, IL",17029.0,7,0,0,0,75.54064836494356,64.2314096062948
15,"Cook County, IL",17031.0,3,0,0,0,72.36108907078476,62.453444451731386
16,"Crawford County, IL",17033.0,7,1,0,0,76.28479790916246,65.26984199664179
17,"Cumberland County, IL",17035.0,9,4,0,0,75.96961833251754,64.74213045795159
18,"Dekalb County, IL",17037.0,6,3,0,0,73.34224849642146,61.28171891999453
19,"Dewitt County, IL",17039.0,8,5,0,0,75.15628673406111,63.40295687252364
20,"Douglas County, IL",17041.0,9,1,0,0,75.43059484709173,63.79315445647205
21,"Dupage County, IL",17043.0,7,5,0,0,73.25492845295902,61.78136358533317
22,"Edgar County, IL",17045.0,7,0,0,0,75.4158854204421,64.0180212361005
23,"Edwards County, IL",17047.0,11,5,0,0,77.05685525416818,66.60529750829258
24,"Effingham County, IL",17049.0,12,6,0,0,76.3012995879708,65.32329405898405
25,"Fayette County, IL",17051.0,15,8,0,0,76.50909343800312,65.59820955604718
26,"Ford County, IL",17053.0,7,9,0,0,74.66630243551695,62.82991331765799
27,"Franklin County, IL",17055.0,21,11,0,0,77.57820227696764,67.91304891176321
28,"Fulton County, IL",17057.0,13,13,0,0,75.73308647150724,63.87160677964377
29,"Gallatin County, IL",17059.0,14,6,0,0,77.6237690197662,67.47977190867343
30,"Greene County, IL",17061.0,18,14,0,0,76.65610008404492,65.29525550079136
31,"Grundy County, IL",17063.0,11,12,0,0,74.32531799519944,62.58757631191476
32,"Hamilton County, IL",17065.0,17,9,0,0,77.42712182168044,66.98468071451092
33,"Hancock County, IL",17067.0,19,12,0,0,76.00671413939239,64.50062446257087
34,"Hardin County, IL",17069.0,11,3,0,0,77.70649466304859,67.77146239408182
35,"Henderson County, IL",17071.0,15,11,0,0,75.44278349560582,63.905008417259424
36,"Henry County, IL",17073.0,12,9,0,0,74.62857920530033,62.857715327172194
37,"Iroquois County, IL",17075.0,8,8,0,0,74.52280981080949,62.69808946206054
38,"Jackson County, IL",17077.0,25,10,0,0,77.7108444182736,67.61664816916598
39,"Jasper County, IL",17079.0,7,3,0,0,76.31382444791463,65.19473225408693
40,"Jefferson County, IL",17081.0,22,12,0,0,77.2009705419981,67.05281901892323
41,"Jersey County, IL",17083.0,18,15,0,0,76.96105700167242,66.17944540440105
42,"Jo Daviess County, IL",17085.0,5,4,0,0,73.16383391026248,61.34185409159237
43,"Johnson County, IL",17087.0,15,10,0,0,77.75381052079292,67.75036283890569
44,"Kane County, IL",17089.0,7,4,0,0,73.18168662417635,61.320379004913114
45,"Kankakee County, IL",17091.0,7,9,0,0,74.25826773027715,62.52020555448634
46,"Kendall County, IL",17093.0,9,6,0,0,73.90072746991726,62.08802715701463
47,"Knox County, IL",17095.0,11,8,0,0,74.99898129817036,63.18102198267603
48,"Lake County, IL",17097.0,2,0,0,0,70.3272057660141,62.07458898537836
49,"Lasalle County, IL",17099.0,11,9,0,0,74.32891956027734,62.44076511663174
50,"Lawrence County, IL",17101.0,9,2,0,0,76.63157686966261,65.9098366580235
51,"Lee County, IL",17103.0,9,6,0,0,73.80083253544616,61.77545824015889
52,"Livingston County, IL",17105.0,10,12,0,0,74.62228189439507,62.77155039258161
53,"Logan County, IL",17107.0,13,10,0,0,75.68472630550106,63.72513938025953
54,"Macon County, IL",17115.0,10,3,0,0,75.55369484412267,63.90293511390031
55,"Macoupin County, IL",17117.0,15,9,0,0,76.4864020523429,65.21918712241691
56,"Madison County, IL",17119.0,16,10,0,0,77.03322737526656,66.48997577602735
57,"Marion County, IL",17121.0,17,10,0,0,76.86049249925408,66.39910680566292
58,"Marshall County, IL",17123.0,11,11,0,0,74.78080248831046,63.24803964045834
59,"Mason County, IL",17125.0,19,17,0,0,75.99601804398226,64.14283193451699
60,"Massac County, IL",17127.0,14,6,0,0,78.09169799209839,68.45239620331022
61,"Mcdonough County, IL",17109.0,16,17,0,0,75.77966879011848,63.85493497140815
62,"Mchenry County, IL",17111.0,4,4,0,0,72.43995667308748,60.98484798371649
63,"Mclean County, IL",17113.0,7,9,0,0,74.87260472996178,63.06127765385683
64,"Menard County, IL",17129.0,18,13,0,0,76.07982345843597,64.15528422135945
65,"Mercer County, IL",17131.0,11,10,0,0,75.00538511525575,63.425469263154916
66,"Monroe County, IL",17133.0,30,21,0,0,77.53234558062444,67.24903257610154
67,"Montgomery County, IL",17135.0,15,6,0,0,76.33283051535837,65.14117682575508
68,"Morgan County, IL",17137.0,17,10,0,0,76.31760266415509,64.59987461617135
69,"Moultrie County, IL",17139.0,11,3,0,0,75.60098031912042,64.2194022475878
70,"Ogle County, IL",17141.0,6,4,0,0,73.3781248211761,61.39863168649954
71,"Peoria County, IL",17143.0,10,11,0,0,75.126568030992,63.58779224564093
72,"Perry County, IL",17145.0,27,14,0,0,77.57131391041393,67.53789259073366
73,"Piatt County, IL",17147.0,9,2,0,0,75.24600196943321,63.52204899170795
74,"Pike County, IL",17149.0,20,18,0,0,76.594656337178,65.18592891784155
75,"Pope County, IL",17151.0,13,6,0,0,77.80221431773033,67.85776907101298
76,"Pulaski County, IL",17153.0,21,11,0,0,78.16835046429246,68.58570874585713
77,"Putnam County, IL",17155.0,12,9,0,0,74.57236407002034,62.977945652312336
78,"Randolph County, IL",17157.0,29,15,0,0,77.63200479128614,67.32219760487543
79,"Richland County, IL",17159.0,11,4,0,0,76.74396322823759,66.04692245864008
80,"Rock Island County, IL",17161.0,11,8,0,0,74.70269835631449,63.13770254205912
81,"Saline County, IL",17165.0,15,8,0,0,77.6001526956032,67.4505612514607
82,"Sangamon County, IL",17167.0,15,7,0,0,76.08427967551177,64.34124198493947
83,"Schuyler County, IL",17169.0,19,18,0,0,76.11434294320128,64.30295480539351
84,"Scott County, IL",17171.0,18,15,0,0,76.4797786786647,64.89547239092853
85,"Shelby County, IL",17173.0,9,4,0,0,75.95886705795584,64.71639913111557
86,"St. Clair County, IL",17163.0,26,15,0,0,77.44452389989205,67.1091490457688
87,"Stark County, IL",17175.0,10,7,0,0,74.70901159285455,63.02697437240564
88,"Stephenson County, IL",17177.0,6,2,0,0,73.01096434705919,60.95011957647864
89,"Tazewell County, IL",17179.0,11,11,0,0,75.35168060178403,63.58056771109634
90,"Union County, IL",17181.0,20,11,0,0,77.88593159875397,67.72604373121227
91,"Vermilion County, IL",17183.0,7,5,0,0,74.91673488291643,63.24458920804307
92,"Wabash County, IL",17185.0,11,4,0,0,76.96195374083064,66.52967812116852
93,"Warren County, IL",17187.0,12,10,0,0,75.2237600888201,63.376467981188696
94,"Washington County, IL",17189.0,23,12,0,0,77.36189245102373,67.19396881591504
95,"Wayne County, IL",17191.0,17,8,0,0,77.13927326036243,66.41632006006955
96,"White County, IL",17193.0,13,6,0,0,77.40566653170308,66.94064541594443
97,"Whiteside County, IL",17195.0,10,7,0,0,74.3203724396948,62.44180791326676
98,"Will County, IL",17197.0,8,4,0,0,73.87676588204332,62.366133827472005
99,"Williamson County, IL",17199.0,16,7,0,0,77.64293627708275,67.7594960328367
100,"Winnebago County, IL",17201.0,5,3,0,0,73.01434545586122,60.96130542548955
101,"Woodford County, IL",17203.0,7,10,0,0,74.86428284686751,63.140274584193655
