,County,FIPS,2016-2025 HI Mean
0,"Adams County, IL",17001.0,53.43671769002325
1,"Alexander County, IL",17003.0,58.975519843175285
2,"Bond County, IL",17005.0,55.68597306285003
3,"Boone County, IL",17007.0,48.15133309948784
4,"Brown County, IL",17009.0,53.33427807062886
5,"Bureau County, IL",17011.0,50.37782186339541
6,"Calhoun County, IL",17013.0,55.00381309306898
7,"Carroll County, IL",17015.0,48.73360365673567
8,"Cass County, IL",17017.0,53.45053744231245
9,"Champaign County, IL",17019.0,52.63338440345847
10,"Christian County, IL",17021.0,53.77529905221915
11,"Clark County, IL",17023.0,54.328975393820066
12,"Clay County, IL",17025.0,56.08949983756573
13,"Clinton County, IL",17027.0,56.50583583873652
14,"Coles County, IL",17029.0,53.71122726177419
15,"Cook County, IL",17031.0,49.40159407686733
16,"Crawford County, IL",17033.0,55.318295586599426
17,"Cumberland County, IL",17035.0,54.46138027342986
18,"Dekalb County, IL",17037.0,49.00425175000509
19,"Dewitt County, IL",17039.0,52.49921793043023
20,"Douglas County, IL",17041.0,53.390468518531364
21,"Dupage County, IL",17043.0,49.524772750827616
22,"Edgar County, IL",17045.0,53.60573918243315
23,"Edwards County, IL",17047.0,56.841753054979186
24,"Effingham County, IL",17049.0,55.0857037917821
25,"Fayette County, IL",17051.0,55.248995889417465
26,"Ford County, IL",17053.0,51.90593234664369
27,"Franklin County, IL",17055.0,57.880149051445656
28,"Fulton County, IL",17057.0,52.36326406690935
29,"Gallatin County, IL",17059.0,57.96338698372623
30,"Greene County, IL",17061.0,54.38245551311605
31,"Grundy County, IL",17063.0,50.86929783231302
32,"Hamilton County, IL",17065.0,57.45026150060371
33,"Hancock County, IL",17067.0,52.709177709740956
34,"Hardin County, IL",17069.0,58.200678075708296
35,"Henderson County, IL",17071.0,51.75435448430539
36,"Henry County, IL",17073.0,50.51308025588166
37,"Iroquois County, IL",17075.0,51.80712477000295
38,"Jackson County, IL",17077.0,57.71717008035962
39,"Jasper County, IL",17079.0,55.21307577052402
40,"Jefferson County, IL",17081.0,57.03115981405439
41,"Jersey County, IL",17083.0,55.167566098561046
42,"Jo Daviess County, IL",17085.0,47.9598586520014
43,"Johnson County, IL",17087.0,58.18045189203304
44,"Kane County, IL",17089.0,49.01812608005739
45,"Kankakee County, IL",17091.0,51.17513552425634
46,"Kendall County, IL",17093.0,50.103432349441015
47,"Knox County, IL",17095.0,51.209880607148335
48,"Lake County, IL",17097.0,47.79913894784274
49,"Lasalle County, IL",17099.0,50.59226825895403
50,"Lawrence County, IL",17101.0,56.10929437965459
51,"Lee County, IL",17103.0,49.4456398083999
52,"Livingston County, IL",17105.0,51.52841235092952
53,"Logan County, IL",17107.0,52.93958231027627
54,"Macon County, IL",17115.0,53.14190024756283
55,"Macoupin County, IL",17117.0,54.46059979364732
56,"Madison County, IL",17119.0,55.85984857655894
57,"Marion County, IL",17121.0,56.27872744999807
58,"Marshall County, IL",17123.0,51.256014112055524
59,"Mason County, IL",17125.0,52.996678214792425
60,"Massac County, IL",17127.0,58.98975760687349
61,"Mcdonough County, IL",17109.0,52.333068850454694
62,"Mchenry County, IL",17111.0,48.11914537346571
63,"Mclean County, IL",17113.0,51.96654063094713
64,"Menard County, IL",17129.0,53.31585981567575
65,"Mercer County, IL",17131.0,50.95882075422222
66,"Monroe County, IL",17133.0,56.87525357975628
67,"Montgomery County, IL",17135.0,54.5001041467874
68,"Morgan County, IL",17137.0,53.71069296319388
69,"Moultrie County, IL",17139.0,53.544343326729056
70,"Ogle County, IL",17141.0,48.77903074408662
71,"Peoria County, IL",17143.0,51.640818112130866
72,"Perry County, IL",17145.0,57.49749870240747
73,"Piatt County, IL",17147.0,52.84432820639107
74,"Pike County, IL",17149.0,54.0568149809525
75,"Pope County, IL",17151.0,58.35420958178966
76,"Pulaski County, IL",17153.0,58.99971295052675
77,"Putnam County, IL",17155.0,50.832747151341074
78,"Randolph County, IL",17157.0,57.235350760117704
79,"Richland County, IL",17159.0,56.24192438129387
80,"Rock Island County, IL",17161.0,50.38690896541218
81,"Saline County, IL",17165.0,57.97773699807353
82,"Sangamon County, IL",17167.0,53.53400121487821
83,"Schuyler County, IL",17169.0,52.965719387835186
84,"Scott County, IL",17171.0,53.9203203043363
85,"Shelby County, IL",17173.0,54.14357152704724
86,"St. Clair County, IL",17163.0,56.770053195647975
87,"Stark County, IL",17175.0,50.89293643458115
88,"Stephenson County, IL",17177.0,48.01517152008896
89,"Tazewell County, IL",17179.0,52.22851321486751
90,"Union County, IL",17181.0,58.043705285653
91,"Vermilion County, IL",17183.0,52.64129219786718
92,"Wabash County, IL",17185.0,56.72315732206101
93,"Warren County, IL",17187.0,51.437726862453786
94,"Washington County, IL",17189.0,57.02248073065095
95,"Wayne County, IL",17191.0,56.78565216913551
96,"White County, IL",17193.0,57.40937315930959
97,"Whiteside County, IL",17195.0,49.81846598371947
98,"Will County, IL",17197.0,50.4951728402857
99,"Williamson County, IL",17199.0,58.0681987353377
100,"Winnebago County, IL",17201.0,48.26666095644598
101,"Woodford County, IL",17203.0,51.57135477313149
