,County,FIPS,HI Days above 90,HI Hours above 90,HI Days above 104,HI Hours above 104,HI JJA Daily Av. High,HI JJA Daily Av. Low
0,"Adams County, IL",17001.0,414,2895,42,183,88.80178632524616,67.74219345895743
1,"Alexander County, IL",17003.0,599,4698,65,266,92.0563522445999,71.51815655657904
2,"Bond County, IL",17005.0,467,3347,36,160,89.64927835925094,69.3206104699401
3,"Boone County, IL",17007.0,178,1047,12,49,82.98467630789557,63.40309733871363
4,"Brown County, IL",17009.0,411,2842,36,185,88.72599028355108,67.38661288513477
5,"Bureau County, IL",17011.0,261,1683,19,97,85.53228376554831,65.09053380778704
6,"Calhoun County, IL",17013.0,473,3423,56,238,89.84809633871565,68.94835234167118
7,"Carroll County, IL",17015.0,215,1253,14,59,84.29877446735509,64.14963782155515
8,"Cass County, IL",17017.0,409,2869,39,197,88.75102126820299,67.24723859303445
9,"Champaign County, IL",17019.0,301,1925,18,86,86.51095727606194,66.01347525917869
10,"Christian County, IL",17021.0,377,2598,26,134,88.05478786781725,67.10766352903664
11,"Clark County, IL",17023.0,366,2437,23,93,87.77071827337234,67.5919008713689
12,"Clay County, IL",17025.0,464,3293,36,151,89.64290335988399,69.27507758186647
13,"Clinton County, IL",17027.0,491,3672,52,199,90.34599364752748,70.07605423933241
14,"Coles County, IL",17029.0,349,2257,22,90,87.26963739648636,67.07923681434103
15,"Cook County, IL",17031.0,143,779,7,28,81.55828479353207,65.043188090749
16,"Crawford County, IL",17033.0,408,2835,27,109,88.7068498040603,68.32538381746062
17,"Cumberland County, IL",17035.0,395,2609,27,110,88.17933404974609,67.76183890937119
18,"Dekalb County, IL",17037.0,200,1218,14,61,83.76963514901598,63.78206044710595
19,"Dewitt County, IL",17039.0,307,2024,23,105,86.60417729107124,66.07319992775159
20,"Douglas County, IL",17041.0,335,2184,22,93,87.12972611210039,66.56267670887325
21,"Dupage County, IL",17043.0,203,1279,17,68,83.64230617003257,64.30122041535215
22,"Edgar County, IL",17045.0,333,2148,22,81,87.11320764878265,66.8434374441885
23,"Edwards County, IL",17047.0,490,3512,35,142,90.07311590774249,69.8218342707952
24,"Effingham County, IL",17049.0,429,2912,28,122,88.80628613681789,68.40078667378074
25,"Fayette County, IL",17051.0,435,3057,30,136,89.14244017237796,68.6552652968329
26,"Ford County, IL",17053.0,284,1759,20,81,86.03039795127752,65.5393239469389
27,"Franklin County, IL",17055.0,531,4074,55,221,91.06989704097963,71.18363252443126
28,"Fulton County, IL",17057.0,365,2485,38,173,87.83998247093346,66.55093979750333
29,"Gallatin County, IL",17059.0,536,3982,44,178,90.98576669144416,70.57534100046969
30,"Greene County, IL",17061.0,428,3079,42,199,89.17165108075098,68.08423746778887
31,"Grundy County, IL",17063.0,266,1655,20,89,85.45505290823094,65.16595822077085
32,"Hamilton County, IL",17065.0,520,3864,48,185,90.79967867630428,70.2876222476027
33,"Hancock County, IL",17067.0,398,2766,37,177,88.4622708136167,67.35138429223902
34,"Hardin County, IL",17069.0,559,4069,47,177,91.11235640638888,70.70273890142708
35,"Henderson County, IL",17071.0,358,2409,28,137,87.48245275393677,66.69081053868173
36,"Henry County, IL",17073.0,280,1834,20,97,85.95488757504248,65.53318208490334
37,"Iroquois County, IL",17075.0,277,1714,16,70,85.89228643849447,65.40730579694922
38,"Jackson County, IL",17077.0,530,4094,59,249,91.20722370256749,70.70849166819029
39,"Jasper County, IL",17079.0,420,2875,30,114,88.80808674923321,68.2769279364486
40,"Jefferson County, IL",17081.0,497,3733,46,180,90.45708929651221,70.37493751921004
41,"Jersey County, IL",17083.0,465,3403,50,228,89.74884435720327,69.06036132559167
42,"Jo Daviess County, IL",17085.0,186,1072,11,47,83.59481708105973,63.62289988460173
43,"Johnson County, IL",17087.0,562,4068,49,193,91.14931677144695,70.769196448734
44,"Kane County, IL",17089.0,197,1179,14,55,83.49008301632026,63.801432163150885
45,"Kankakee County, IL",17091.0,266,1637,16,74,85.44511390762723,65.13597615276151
46,"Kendall County, IL",17093.0,231,1452,17,79,84.68716821345127,64.64072584746629
47,"Knox County, IL",17095.0,310,2046,27,115,86.56670153778141,65.85877601278766
48,"Lake County, IL",17097.0,45,231,2,10,77.8240387440467,64.60487788464587
49,"Lasalle County, IL",17099.0,261,1630,20,95,85.37879854748353,64.99201875462059
50,"Lawrence County, IL",17101.0,450,3110,27,122,89.31110194603589,69.06685623614162
51,"Lee County, IL",17103.0,224,1375,17,76,84.49350314158177,64.298794912464
52,"Livingston County, IL",17105.0,276,1765,20,86,85.94424272068728,65.42588557832218
53,"Logan County, IL",17107.0,348,2366,34,158,87.48646437717727,66.33307622529583
54,"Macon County, IL",17115.0,344,2288,26,117,87.21794338126385,66.5686704393112
55,"Macoupin County, IL",17117.0,420,2947,36,162,88.90593366604739,68.03990014076187
56,"Madison County, IL",17119.0,489,3564,52,207,90.0663175727947,69.56017023081611
57,"Marion County, IL",17121.0,474,3428,39,161,89.86740418052077,69.67817497079216
58,"Marshall County, IL",17123.0,286,1852,23,109,86.1491891338311,65.82250680904986
59,"Mason County, IL",17125.0,381,2623,43,190,88.20508958099215,66.79578869676992
60,"Massac County, IL",17127.0,600,4532,47,209,91.79151130233436,71.42869975508484
61,"Mcdonough County, IL",17109.0,376,2559,36,173,87.9426466848059,66.59408477520235
62,"Mchenry County, IL",17111.0,167,963,11,47,82.40666279308536,63.43647825928727
63,"Mclean County, IL",17113.0,291,1867,24,91,86.22044653074474,65.733071813272
64,"Menard County, IL",17129.0,388,2653,38,188,88.27312684485928,66.80099879373307
65,"Mercer County, IL",17131.0,320,2100,27,117,86.66820622534287,66.2207212028317
66,"Monroe County, IL",17133.0,526,3977,63,267,90.93555747444705,70.2615784824014
67,"Montgomery County, IL",17135.0,408,2870,31,136,88.69785419470254,68.00474533956036
68,"Morgan County, IL",17137.0,403,2797,33,173,88.62277610882913,67.3091431984149
69,"Moultrie County, IL",17139.0,351,2314,22,102,87.32463348817232,66.96231040375869
70,"Ogle County, IL",17141.0,206,1209,13,58,83.91102126666294,63.933026971923695
71,"Peoria County, IL",17143.0,314,2079,31,129,86.7186201162548,66.24630756991716
72,"Perry County, IL",17145.0,532,4082,60,256,91.10002055169812,70.7588609213547
73,"Piatt County, IL",17147.0,317,2057,22,102,86.7816406252502,66.24045342334817
