,County,Year,FIPS,HI Days above 90,HI Hours above 90,HI Days above 104,HI Hours above 104,HI JJA Av. Daily High,HI JJA Av. Daily Low
0,"Adams County, IL",2016,17001.0,56,390,7,26,90.57359193700097,69.58974605771006
1,"Adams County, IL",2017,17001.0,40,240,4,15,87.47851352333846,65.50092011158223
2,"Adams County, IL",2018,17001.0,64,442,3,6,89.95719185219059,68.82523980079998
3,"Adams County, IL",2019,17001.0,49,305,3,9,87.53491432798305,67.89435556171516
4,"Adams County, IL",2020,17001.0,41,286,2,3,88.7291142754903,67.70085131240573
5,"Adams County, IL",2021,17001.0,42,289,5,10,89.02382556861399,68.19481840602903
6,"Adams County, IL",2022,17001.0,45,351,6,29,89.07969354285005,67.69899552399652
7,"Adams County, IL",2023,17001.0,35,292,8,66,88.4887548761923,66.97738083420501
8,"Adams County, IL",2024,17001.0,41,297,4,19,88.35047702355577,67.29743352217314
9,"Alexander County, IL",2016,17003.0,84,699,11,25,94.72298200480064,73.99411237131604
10,"Alexander County, IL",2017,17003.0,51,371,4,15,89.68618254811442,69.89341315912873
11,"Alexander County, IL",2018,17003.0,94,672,3,11,93.06468300644566,72.70054274577498
12,"Alexander County, IL",2019,17003.0,72,502,4,12,90.33254970568625,70.73749985728371
13,"Alexander County, IL",2020,17003.0,58,413,1,2,91.25679379737346,71.70099205665832
14,"Alexander County, IL",2021,17003.0,58,475,4,11,91.57038732194243,71.75984360711875
15,"Alexander County, IL",2022,17003.0,64,632,14,64,93.61515663571677,72.32587241307564
16,"Alexander County, IL",2023,17003.0,59,447,13,83,92.28982137372805,70.37854850547853
17,"Alexander County, IL",2024,17003.0,59,487,11,43,91.96861380759138,70.17258429337664
18,"Bond County, IL",2016,17005.0,60,468,4,20,91.57337444357233,71.07293445693968
19,"Bond County, IL",2017,17005.0,46,283,4,8,88.49819864527618,67.8142343723795
20,"Bond County, IL",2018,17005.0,70,477,1,4,90.16878685329398,70.19237440606904
21,"Bond County, IL",2019,17005.0,56,334,3,7,88.19284878766649,68.74763019559106
22,"Bond County, IL",2020,17005.0,47,306,1,2,89.17467540996041,69.40085649116756
23,"Bond County, IL",2021,17005.0,54,404,2,6,90.25383686604589,70.34145279221394
24,"Bond County, IL",2022,17005.0,48,426,8,30,90.43302510776816,69.67613805123189
25,"Bond County, IL",2023,17005.0,37,312,10,71,89.34226450760865,68.23674665482108
26,"Bond County, IL",2024,17005.0,48,332,3,12,89.20649461206625,68.4031268090472
27,"Boone County, IL",2016,17007.0,19,109,2,4,83.47585186100383,64.28772030986217
28,"Boone County, IL",2017,17007.0,11,62,0,0,80.08019613614529,61.1213612993437
29,"Boone County, IL",2018,17007.0,27,159,2,9,82.85855551559418,63.846195020526615
30,"Boone County, IL",2019,17007.0,20,118,2,4,82.35757949667918,63.004510504472925
31,"Boone County, IL",2020,17007.0,22,145,0,0,84.8749274301127,64.26897826075609
32,"Boone County, IL",2021,17007.0,28,154,1,2,85.57266032794598,65.49253717602464
33,"Boone County, IL",2022,17007.0,16,98,1,4,82.66850247782195,63.37888039640219
34,"Boone County, IL",2023,17007.0,15,103,2,19,82.54998966779368,62.27043477236235
35,"Boone County, IL",2024,17007.0,19,98,2,7,82.42382385796334,62.95725830867198
36,"Brown County, IL",2016,17009.0,58,393,5,26,90.64333566587499,69.36867361149659
37,"Brown County, IL",2017,17009.0,39,234,3,14,87.27693116000358,65.00705685008423
38,"Brown County, IL",2018,17009.0,60,431,3,10,89.81120197265382,68.30263212579226
39,"Brown County, IL",2019,17009.0,50,301,3,7,87.39997143664459,67.58495995039476
40,"Brown County, IL",2020,17009.0,41,281,2,3,88.61257995597313,67.3417946232295
41,"Brown County, IL",2021,17009.0,42,292,5,15,89.11688274043006,67.9188243134884
42,"Brown County, IL",2022,17009.0,43,329,4,27,88.85253431381938,67.31899051418682
43,"Brown County, IL",2023,17009.0,37,283,7,64,88.41720732755441,66.48756959584559
44,"Brown County, IL",2024,17009.0,40,294,4,19,88.40326797900575,67.14901438169476
45,"Bureau County, IL",2016,17011.0,36,197,2,11,86.59209963871918,66.79507573419971
46,"Bureau County, IL",2017,17011.0,29,129,0,0,83.68793134073535,62.69008129407186
47,"Bureau County, IL",2018,17011.0,39,275,3,9,86.2901902589169,65.58797769045962
48,"Bureau County, IL",2019,17011.0,28,177,2,10,84.90624810682407,64.86230426141071
49,"Bureau County, IL",2020,17011.0,29,185,0,0,86.76690571211411,65.97455858138623
50,"Bureau County, IL",2021,17011.0,30,197,2,9,86.33063373256864,66.35661759093453
51,"Bureau County, IL",2022,17011.0,23,179,4,16,85.16844773662379,65.06737068319944
52,"Bureau County, IL",2023,17011.0,17,154,3,29,84.86719511781028,63.45770411843329
53,"Bureau County, IL",2024,17011.0,29,185,3,13,85.18090224562255,65.02311431598791
54,"Calhoun County, IL",2016,17013.0,65,489,7,30,92.03265416527893,71.14045406412353
55,"Calhoun County, IL",2017,17013.0,45,298,4,16,88.39353624878997,67.04374513319847
56,"Calhoun County, IL",2018,17013.0,70,479,5,14,90.82427331124615,69.82339367087357
57,"Calhoun County, IL",2019,17013.0,56,353,4,7,88.1578328118693,68.44034228088267
58,"Calhoun County, IL",2020,17013.0,50,317,1,1,89.48520960939403,68.90319187886213
59,"Calhoun County, IL",2021,17013.0,50,375,6,16,90.34795462057242,69.68915017011088
60,"Calhoun County, IL",2022,17013.0,50,435,12,51,90.37003426979409,69.09781812593927
61,"Calhoun County, IL",2023,17013.0,41,349,10,82,89.75841257597216,68.12033173822923
