,County Name,Year,Month,County FIPS,All Events,Events of EF2+,DEATHS_DIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_INDIRECT
0,ADAMS,2007,10,1,1,0,0,0,0,0
1,ADAMS,2008,4,1,1,0,0,0,0,0
2,ADAMS,2008,12,1,2,0,0,0,0,0
3,ADAMS,2009,6,1,1,0,0,0,0,0
4,ADAMS,2023,8,1,1,0,0,0,0,0
5,ADAMS,2024,10,1,1,0,0,0,0,0
6,ALEXANDER,2011,4,3,1,1,0,0,0,0
7,ALEXANDER,2013,10,3,2,0,0,0,0,0
8,ALEXANDER,2015,7,3,1,0,0,0,0,0
9,BOND,2010,12,5,1,0,0,0,0,0
10,BOND,2011,2,5,1,0,0,0,0,0
11,BOND,2011,4,5,1,0,0,0,0,0
12,BOND,2014,2,5,1,0,0,0,0,0
13,BOND,2021,12,5,1,0,0,0,0,0
14,BOND,2022,5,5,1,0,0,0,0,0
15,BOONE,2008,1,7,1,1,0,4,0,0
16,BOONE,2008,6,7,1,0,0,0,0,0
17,BOONE,2009,7,7,1,0,0,0,0,0
18,BOONE,2015,4,7,5,0,0,0,0,0
19,BOONE,2017,5,7,1,0,0,0,0,0
20,BOONE,2020,8,7,1,0,0,0,0,0
21,BOONE,2022,4,7,2,0,0,0,0,0
22,BOONE,2023,3,7,2,0,1,40,0,0
23,BOONE,2023,7,7,1,0,0,0,0,0
24,BOONE,2024,5,7,1,0,0,0,0,0
25,BROWN,2009,6,9,1,0,0,0,0,0
26,BROWN,2017,2,9,1,0,0,1,0,0
27,BROWN,2023,10,9,1,0,0,1,0,0
28,BUREAU,2009,7,11,1,0,0,0,0,0
29,BUREAU,2013,6,11,1,0,0,0,0,0
30,BUREAU,2015,5,11,1,0,0,0,0,0
31,BUREAU,2016,6,11,3,0,0,0,0,0
32,BUREAU,2017,2,11,2,0,0,0,0,0
33,BUREAU,2017,3,11,1,0,0,0,0,0
34,BUREAU,2021,8,11,3,0,0,0,0,0
35,BUREAU,2023,3,11,2,0,0,0,0,0
36,BUREAU,2023,5,11,1,0,0,0,0,0
37,BUREAU,2024,5,11,1,0,0,0,0,0
38,CALHOUN,2010,12,13,1,0,0,0,0,0
39,CARROLL,2013,5,15,1,0,0,0,0,0
40,CARROLL,2013,6,15,1,1,0,1,0,0
41,CARROLL,2014,6,15,1,0,0,0,0,0
42,CARROLL,2015,4,15,1,0,0,0,0,0
43,CARROLL,2020,5,15,1,0,0,0,0,0
44,CARROLL,2023,3,15,2,0,0,0,0,0
45,CARROLL,2024,7,15,1,0,0,0,0,0
46,CASS,2014,2,17,1,0,0,0,0,0
47,CASS,2018,12,17,2,0,0,0,0,0
48,CASS,2021,5,17,2,0,0,0,0,0
49,CASS,2021,7,17,3,0,0,0,0,0
