,County Name,County FIPS,All Events,Events of EF2+,DEATHS_DIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_INDIRECT
0,ADAMS,1,7,0,0,0,0,0
1,ALEXANDER,3,4,1,0,0,0,0
2,BOND,5,6,0,0,0,0,0
3,BOONE,7,16,1,1,44,0,0
4,BROWN,9,3,0,0,2,0,0
5,BUREAU,11,16,0,0,0,0,0
6,CALHOUN,13,1,0,0,0,0,0
7,CARROLL,15,8,1,0,1,0,0
8,CASS,17,9,1,0,0,0,0
9,CHAMPAIGN,19,18,3,0,6,0,0
10,CHRISTIAN,21,32,3,0,22,0,0
11,CLARK,23,2,0,0,0,0,0
12,CLAY,25,6,1,0,0,0,0
13,CLINTON,27,10,1,0,0,0,0
14,COLES,29,5,1,0,0,0,0
15,COOK,31,41,3,0,1,0,0
16,CRAWFORD,33,3,2,3,8,0,0
17,CUMBERLAND,35,3,0,0,0,0,0
18,DE KALB,37,18,1,2,11,0,0
19,DE WITT,39,3,0,0,0,0,0
20,DOUGLAS,41,3,1,0,0,0,0
21,DU PAGE,43,25,1,0,11,0,0
22,EDGAR,45,7,1,0,0,0,0
23,EDWARDS,47,5,2,0,0,0,0
24,EFFINGHAM,49,6,0,0,0,0,0
25,FAYETTE,51,8,4,0,0,0,0
26,FORD,53,9,0,0,0,0,0
27,FRANKLIN,55,11,1,0,0,0,0
28,FULTON,57,14,1,0,4,0,0
29,GALLATIN,59,5,1,0,13,0,0
30,GREENE,61,8,1,0,0,0,0
31,GRUNDY,63,13,3,0,13,0,0
32,HAMILTON,65,3,0,0,0,0,0
33,HANCOCK,67,7,0,0,0,0,0
34,HARDIN,69,1,0,0,0,0,0
35,HENDERSON,71,1,0,0,0,0,0
36,HENRY,73,25,7,0,1,0,0
37,IROQUOIS,75,14,0,0,0,0,0
38,JACKSON,77,18,2,0,1,0,0
39,JASPER,79,3,0,0,0,0,0
40,JEFFERSON,81,14,2,1,2,0,0
41,JERSEY,83,11,1,0,0,0,0
42,JO DAVIESS,85,11,1,0,0,0,0
43,JOHNSON,87,5,1,0,1,0,0
44,KANE,89,26,0,0,0,0,0
45,KANKAKEE,91,34,2,0,1,0,0
46,KENDALL,93,17,0,0,0,0,0
47,KNOX,95,7,1,0,0,0,0
48,LA SALLE,99,30,5,2,31,0,0
49,LAKE,97,6,0,0,2,0,0
50,LAWRENCE,101,3,0,0,1,0,0
51,LEE,103,16,2,0,7,0,0
52,LIVINGSTON,105,22,4,1,17,0,0
53,LOGAN,107,14,2,0,3,0,0
54,MACON,115,24,0,0,1,0,0
55,MACOUPIN,117,20,3,0,5,0,0
56,MADISON,119,17,5,6,2,0,0
57,MARION,121,14,0,0,0,0,0
58,MARSHALL,123,10,1,0,0,0,0
59,MASON,125,9,0,0,1,0,0
60,MASSAC,127,9,3,3,35,0,0
61,MCDONOUGH,109,16,1,0,0,0,0
62,MCHENRY,111,13,1,0,1,0,0
63,MCLEAN,113,23,1,0,0,0,0
64,MENARD,129,6,2,0,1,0,0
65,MERCER,131,13,1,0,0,0,0
66,MONROE,133,12,2,0,1,0,0
67,MONTGOMERY,135,22,3,0,0,0,0
68,MORGAN,137,14,0,0,1,0,0
69,MOULTRIE,139,5,1,0,0,0,0
70,OGLE,141,16,1,0,0,0,0
71,PEORIA,143,18,2,0,0,0,0
72,PERRY,145,7,0,0,2,0,0
73,PIATT,147,6,0,0,0,0,0
74,PIKE,149,11,1,0,3,0,0
75,POPE,151,3,1,0,0,0,0
76,PULASKI,153,6,1,0,0,0,0
77,PUTNAM,155,5,1,0,0,0,0
78,RANDOLPH,157,10,2,0,1,0,0
79,RICHLAND,159,8,0,0,0,0,0
80,ROCK ISLAND,161,18,2,0,10,0,0
81,SALINE,165,7,4,8,99,0,0
82,SANGAMON,167,23,5,0,22,0,0
83,SCHUYLER,169,5,0,0,0,0,0
84,SCOTT,171,3,0,0,0,0,0
85,SHELBY,173,12,4,0,2,0,0
86,ST. CLAIR,163,14,1,0,0,0,0
87,STARK,175,6,0,0,0,0,0
88,STEPHENSON,177,10,0,0,0,0,0
89,TAZEWELL,179,21,5,3,132,1,0
90,UNION,181,11,1,0,0,0,0
91,VERMILION,183,24,2,0,1,0,0
92,WABASH,185,8,3,0,1,0,0
93,WARREN,187,11,2,0,1,0,0
94,WASHINGTON,189,10,3,2,3,0,0
95,WAYNE,191,13,3,0,3,0,0
96,WHITE,193,13,3,1,1,0,0
97,WHITESIDE,195,22,0,0,0,0,0
98,WILL,197,46,9,0,12,0,0
99,WILLIAMSON,199,14,2,0,0,0,0
100,WINNEBAGO,201,14,1,0,6,0,0
101,WOODFORD,203,18,3,0,4,0,0
