,State Name,county Name,State Code,County Code,Month,Avg AQI,Avg Min AQI,Avg Max AQI,Avg Days AQI >50,Avg Days AQI >100,Total Days AQI >50,Total Days AQI >100,Monthly Mode DP (AQI>50),Monthly Mode DP (AQI>100)
0,Illinois,Adams,17,1,3,38.655197132616486,25.0,52.44444444444444,0.7777777777777778,0.0,7.0,0.0,Ozone,
1,Illinois,Adams,17,1,4,42.43644955300128,26.4,65.9,3.2,0.0,32.0,0.0,Ozone,
2,Illinois,Adams,17,1,5,45.40245161290322,27.7,72.5,5.7,0.3,57.0,3.0,Ozone,Ozone
3,Illinois,Adams,17,1,6,50.69732804232804,29.8,92.0,8.5,1.0,85.0,10.0,Ozone,Ozone
4,Illinois,Adams,17,1,7,40.55729988052568,28.333333333333332,57.111111111111114,2.2222222222222223,0.0,20.0,0.0,Ozone,
5,Illinois,Adams,17,1,8,36.97766749379653,24.22222222222222,54.22222222222222,1.0,0.0,9.0,0.0,Ozone,
6,Illinois,Adams,17,1,9,37.41966794380588,19.333333333333332,59.77777777777778,2.0,0.0,18.0,0.0,Ozone,
7,Illinois,Adams,17,1,10,32.15412186379928,16.555555555555557,53.55555555555556,1.5555555555555556,0.0,14.0,0.0,Ozone,
8,Illinois,Champaign,17,19,1,43.68709677419355,24.6,68.7,10.9,0.0,109.0,0.0,PM2.5,
9,Illinois,Champaign,17,19,2,45.21169950738916,26.2,71.5,11.6,0.0,116.0,0.0,PM2.5,
10,Illinois,Champaign,17,19,3,44.519354838709674,30.0,70.9,8.5,0.1,85.0,1.0,PM2.5,PM2.5
11,Illinois,Champaign,17,19,4,45.626666666666665,30.3,71.2,8.4,0.0,84.0,0.0,Ozone,
12,Illinois,Champaign,17,19,5,51.041935483870965,31.3,84.2,12.3,0.6,123.0,6.0,Ozone,Ozone
13,Illinois,Champaign,17,19,6,61.10333333333333,35.3,118.9,17.8,1.3,178.0,13.0,Ozone,Ozone
14,Illinois,Champaign,17,19,7,49.75268817204301,32.111111111111114,91.11111111111111,13.11111111111111,0.2222222222222222,118.0,2.0,PM2.5,Ozone
15,Illinois,Champaign,17,19,8,46.645161290322584,27.555555555555557,67.11111111111111,12.333333333333334,0.0,111.0,0.0,PM2.5,
16,Illinois,Champaign,17,19,9,43.77407407407407,23.555555555555557,76.33333333333333,8.444444444444445,0.0,76.0,0.0,PM2.5,
17,Illinois,Champaign,17,19,10,38.7741935483871,19.555555555555557,61.77777777777778,6.555555555555555,0.0,59.0,0.0,PM2.5,
18,Illinois,Champaign,17,19,11,42.37777777777777,21.555555555555557,64.88888888888889,10.333333333333334,0.0,93.0,0.0,PM2.5,
19,Illinois,Champaign,17,19,12,43.641577060931894,22.444444444444443,72.33333333333333,12.333333333333334,0.0,111.0,0.0,PM2.5,
20,Illinois,Clark,17,23,1,26.03603405493283,16.625,34.75,0.0,0.0,0.0,0.0,,
21,Illinois,Clark,17,23,2,30.490330231709542,19.0,43.375,0.125,0.0,1.0,0.0,Ozone,
22,Illinois,Clark,17,23,3,36.715053763440864,22.88888888888889,49.44444444444444,0.3333333333333333,0.0,3.0,0.0,Ozone,
23,Illinois,Clark,17,23,4,40.96696223316913,25.5,57.5,2.9,0.0,29.0,0.0,Ozone,
24,Illinois,Clark,17,23,5,45.78012080180539,27.666666666666668,77.55555555555556,6.444444444444445,0.2222222222222222,58.0,2.0,Ozone,Ozone
25,Illinois,Clark,17,23,6,51.77201646090535,30.11111111111111,95.33333333333333,9.444444444444445,0.7777777777777778,85.0,7.0,Ozone,Ozone
26,Illinois,Clark,17,23,7,38.462365591397855,24.555555555555557,60.888888888888886,1.4444444444444444,0.0,13.0,0.0,Ozone,
27,Illinois,Clark,17,23,8,36.46432650361399,23.666666666666668,50.111111111111114,0.6666666666666666,0.0,6.0,0.0,Ozone,
28,Illinois,Clark,17,23,9,37.20603174603175,20.555555555555557,60.333333333333336,1.6666666666666667,0.0,15.0,0.0,Ozone,
29,Illinois,Clark,17,23,10,31.87683284457478,15.222222222222221,49.55555555555556,0.5555555555555556,0.0,5.0,0.0,Ozone,
30,Illinois,Clark,17,23,11,25.933004926108374,15.285714285714286,37.42857142857143,0.0,0.0,0.0,0.0,,
31,Illinois,Clark,17,23,12,22.60049627791563,13.285714285714286,34.285714285714285,0.0,0.0,0.0,0.0,,
32,Illinois,Cook,17,31,1,55.80645161290323,34.0,84.6,23.2,0.1,232.0,1.0,PM2.5,PM2.5
33,Illinois,Cook,17,31,2,56.20751231527093,34.5,80.9,19.5,0.0,195.0,0.0,PM2.5,
34,Illinois,Cook,17,31,3,53.69354838709677,36.0,84.7,18.2,0.1,182.0,1.0,PM2.5,PM10
35,Illinois,Cook,17,31,4,54.13333333333334,36.2,92.2,17.3,0.5,173.0,5.0,PM2.5,Ozone
36,Illinois,Cook,17,31,5,60.89032258064516,34.6,106.6,21.0,1.4,210.0,14.0,Ozone,Ozone
37,Illinois,Cook,17,31,6,78.97,40.2,152.7,25.6,6.4,256.0,64.0,Ozone,Ozone
38,Illinois,Cook,17,31,7,66.90322580645162,34.9,133.6,24.0,4.9,240.0,49.0,Ozone,Ozone
39,Illinois,Cook,17,31,8,66.06810035842294,38.333333333333336,130.55555555555554,26.0,2.111111111111111,234.0,19.0,PM2.5,Ozone
40,Illinois,Cook,17,31,9,57.48518518518519,31.22222222222222,97.44444444444444,19.77777777777778,0.8888888888888888,178.0,8.0,PM2.5,Ozone
41,Illinois,Cook,17,31,10,52.74551971326164,30.333333333333332,84.0,19.0,0.2222222222222222,171.0,2.0,PM2.5,Ozone
42,Illinois,Cook,17,31,11,54.91851851851852,29.666666666666668,83.44444444444444,20.333333333333332,0.1111111111111111,183.0,1.0,PM2.5,PM10
