,County Name,Year,County FIPS,All Events,Events of EF2+,DEATHS_DIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_INDIRECT
0,ADAMS,2007,1,1,0,0,0,0,0
1,ADAMS,2008,1,3,0,0,0,0,0
2,ADAMS,2009,1,1,0,0,0,0,0
3,ADAMS,2023,1,1,0,0,0,0,0
4,ADAMS,2024,1,1,0,0,0,0,0
5,ALEXANDER,2011,3,1,1,0,0,0,0
6,ALEXANDER,2013,3,2,0,0,0,0,0
7,ALEXANDER,2015,3,1,0,0,0,0,0
8,BOND,2010,5,1,0,0,0,0,0
9,BOND,2011,5,2,0,0,0,0,0
10,BOND,2014,5,1,0,0,0,0,0
11,BOND,2021,5,1,0,0,0,0,0
12,BOND,2022,5,1,0,0,0,0,0
13,BOONE,2008,7,2,1,0,4,0,0
14,BOONE,2009,7,1,0,0,0,0,0
15,BOONE,2015,7,5,0,0,0,0,0
16,BOONE,2017,7,1,0,0,0,0,0
17,BOONE,2020,7,1,0,0,0,0,0
18,BOONE,2022,7,2,0,0,0,0,0
19,BOONE,2023,7,3,0,1,40,0,0
20,BOONE,2024,7,1,0,0,0,0,0
21,BROWN,2009,9,1,0,0,0,0,0
22,BROWN,2017,9,1,0,0,1,0,0
23,BROWN,2023,9,1,0,0,1,0,0
24,BUREAU,2009,11,1,0,0,0,0,0
25,BUREAU,2013,11,1,0,0,0,0,0
26,BUREAU,2015,11,1,0,0,0,0,0
27,BUREAU,2016,11,3,0,0,0,0,0
28,BUREAU,2017,11,3,0,0,0,0,0
29,BUREAU,2021,11,3,0,0,0,0,0
30,BUREAU,2023,11,3,0,0,0,0,0
31,BUREAU,2024,11,1,0,0,0,0,0
32,CALHOUN,2010,13,1,0,0,0,0,0
33,CARROLL,2013,15,2,1,0,1,0,0
34,CARROLL,2014,15,1,0,0,0,0,0
35,CARROLL,2015,15,1,0,0,0,0,0
36,CARROLL,2020,15,1,0,0,0,0,0
37,CARROLL,2023,15,2,0,0,0,0,0
38,CARROLL,2024,15,1,0,0,0,0,0
39,CASS,2014,17,1,0,0,0,0,0
40,CASS,2018,17,2,0,0,0,0,0
41,CASS,2021,17,6,1,0,0,0,0
42,CHAMPAIGN,2011,19,1,0,0,0,0,0
43,CHAMPAIGN,2012,19,2,0,0,0,0,0
44,CHAMPAIGN,2013,19,2,2,0,6,0,0
45,CHAMPAIGN,2015,19,1,0,0,0,0,0
46,CHAMPAIGN,2016,19,1,1,0,0,0,0
47,CHAMPAIGN,2018,19,3,0,0,0,0,0
48,CHAMPAIGN,2019,19,3,0,0,0,0,0
49,CHAMPAIGN,2021,19,2,0,0,0,0,0
50,CHAMPAIGN,2023,19,3,0,0,0,0,0
51,CHRISTIAN,2007,21,1,0,0,0,0,0
52,CHRISTIAN,2008,21,1,0,0,0,0,0
53,CHRISTIAN,2009,21,1,0,0,0,0,0
54,CHRISTIAN,2010,21,1,0,0,0,0,0
55,CHRISTIAN,2011,21,3,0,0,0,0,0
56,CHRISTIAN,2013,21,2,0,0,0,0,0
57,CHRISTIAN,2014,21,1,0,0,0,0,0
58,CHRISTIAN,2015,21,1,0,0,0,0,0
