EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,Begin_Year,Begin_Month,Begin_Day,BEGIN_TIME,TOR_F_SCALE,Intensity_EF,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,CZ_TIMEZONE,INJURIES_INDIRECT,DEATHS_INDIRECT,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
10320748,HANCOCK, HENDERSON AND WARREN CO.,1995,5,14,0,F4,4,0,7,10000000,IL, ,0, ,50,1000,2,S, ,5/13/1995,1615, , , ,
10010014,COOK CO., ,1967,4,21,1724,F4,4,33,500,25000000,0,CST,0,0,15,200,0, ,0,4/21/1967,1724,41.67,-87.83,41.73,-87.55
10003586,WILL CO., ,1990,8,28,1437,F5,5,29,350,250000000,0,CST,0,0,11.2,600,0, ,0,8/28/1990,1437,41.63,-88.25,41.52,-88.1
10009998,BOONE CO., ,1967,4,21,1550,F4,4,24,410,250000,0,CST,0,0,11.5,1200,0, ,0,4/21/1967,1550,42.22,-88.92,42.28,-88.7
10008665,JACKSON CO., ,1957,12,18,1645,F4,4,11,180,2500000,0,CST,0,0,19.5,300,0, ,0,12/18/1957,1645,37.7,-89.48,37.83,-89.17
10005666,WILLIAMSON CO., ,1982,5,29,1405,F4,4,10,181,250000000,0,CST,0,0,17,400,0, ,0,5/29/1982,1405,37.8,-89.13,37.72,-88.83
5390599,LA SALLE CO.,PERU,2004,4,20,1653,F3,3,8,7,0,0,CST,0,0,9,250,3,SW,1,4/20/2004,1709,41.3,-89.18,41.33,-89.02
359691,SALINE CO.,CARRIERS MILLS,2012,2,29,451,EF4,4,8,95,2000000,0,CST-6,0,0,15.93,325,1,N,1,2/29/2012,504,37.6945,-88.65,37.771,-88.3751
10010874,ST. CLAIR CO., ,1956,2,25,25,F4,4,6,20,2500000,0,CST,0,0,31.6,500,0, ,0,2/25/1956,25,38.5,-90.27,38.62,-89.7
10011055,MCHENRY CO., ,1965,4,11,1520,F4,4,6,75,0,0,CST,0,0,9.1,400,0, ,0,4/11/1965,1520,42.22,-88.38,42.28,-88.22
10005480,SHELBY CO., ,1977,8,21,1200,F3,3,6,56,2500000,0,CST,0,0,11.2,77,0, ,0,8/21/1977,1200,39.43,-88.65,39.35,-88.47
10007753,DE WITT CO., ,1968,5,15,1600,F1,1,4,50,2500000,0,CST,0,0,25.4,1000,0, ,0,5/15/1968,1600,40.23,-89.13,40.23,-88.65
10007757,ST. CLAIR CO., ,1968,5,15,2045,F3,3,4,60,250000,0,CST,0,0,2,200,0, ,0,5/15/1968,2045,38.4,-89.9, , 
10010159,POPE CO., ,1972,4,21,1720,F3,3,3,0,25000,0,CST,0,0,0.3,60,0, ,0,4/21/1972,1720,37.55,-88.53, , 
483775,TAZEWELL CO.,MARQUETTE HGTS,2013,11,17,1059,EF4,4,3,121,910000000,0,CST-6,0,0,14.16,880,2,E,2,11/17/2013,1112,40.622,-89.5678,40.7482,-89.3549
480989,MASSAC CO.,BROOKPORT,2013,11,17,1420,EF3,3,3,33,5500000,0,CST-6,0,0,7.77,500,0,NW,3,11/17/2013,1426,37.1246,-88.6368,37.1225,-88.4958
10009719,BOND CO., ,1950,12,2,1600,F3,3,2,25,2500000,0,CST,0,0,13.3,200,0, ,0,12/2/1950,1600,38.8,-89.6,38.9,-89.38
10007489,MONTGOMERY CO., ,1956,4,28,2330,F1,1,2,0,25000,0,CST,0,0,4.7,33,0, ,0,4/28/1956,2330,39.2,-89.7,39.23,-89.62
10008638,SANGAMON CO., ,1957,6,14,1400,F4,4,2,50,2500000,0,CST,0,0,4.3,220,0, ,0,6/14/1957,1400,39.75,-89.7,39.77,-89.62
10007741,WILL CO., ,1965,11,12,1500,F2,2,2,90,25000000,0,CST,0,0,24.5,120,0, ,0,11/12/1965,1500,41.45,-88.25,41.57,-87.8
10010363,FULTON CO., ,1975,7,23,1645,F3,3,2,69,25000000,0,CST,0,0,14,2630,0, ,0,7/23/1975,1645,40.57,-90.18,40.53,-89.92
