State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Illinois,Adams,17,1,3/1/2025,36,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/2/2025,39,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/3/2025,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/4/2025,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/5/2025,34,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/6/2025,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/7/2025,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/8/2025,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/9/2025,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/10/2025,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/11/2025,47,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/12/2025,48,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/13/2025,71,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/14/2025,49,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/15/2025,31,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/16/2025,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/17/2025,43,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/18/2025,47,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/19/2025,41,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/20/2025,39,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/21/2025,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/22/2025,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/23/2025,40,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/24/2025,43,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/25/2025,43,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/26/2025,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/27/2025,39,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/28/2025,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/29/2025,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/30/2025,31,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,3/31/2025,41,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,4/1/2025,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,4/2/2025,42,Good,Ozone,17-001-0007,1
