County,FIPS,Total HI Days above 90 (Day),Total HI Hours above 90 (Hr),Total HI Days above 104 (Day),Total HI Hours above 104 (Hour),2016-2025 HI Avg. Days above 90 (Day),2016-2025 HI Avg. Hours above 90 (Hr),2016-2025 HI Avg. Days above 104 (Day),2016-2025 HI Avg. Hours above 104 (Hour),2016-2025 HI JJA Daily Av. High (F),2016-2025 HI JJA Daily Av. Low (F),HI 2016-2025 Record Max,HI 2016-2025 Record Date
"Adams County, IL",17001.0,414,2895,42,183,45.888888888888886,321.3333333333333,4.666666666666667,20.333333333333332,88.80178632524616,67.74219345895743,114.97295230787545,2024-08-31
"Alexander County, IL",17003.0,599,4698,65,266,66.55555555555556,522.0,7.222222222222222,29.555555555555557,92.0563522445999,71.51815655657904,115.5150729699693,2024-08-31
"Bond County, IL",17005.0,467,3347,36,160,51.77777777777778,371.3333333333333,4.0,17.77777777777778,89.64927835925094,69.3206104699401,115.72079451292517,2024-08-31
"Boone County, IL",17007.0,178,1047,12,49,19.666666666666668,116.22222222222223,1.3333333333333333,5.444444444444445,82.98467630789557,63.40309733871363,115.3559296513936,2024-08-31
"Brown County, IL",17009.0,411,2842,36,185,45.55555555555556,315.3333333333333,4.0,20.555555555555557,88.72599028355108,67.38661288513477,116.18485812858168,2024-08-31
"Bureau County, IL",17011.0,261,1683,19,97,28.88888888888889,186.44444444444446,2.111111111111111,10.777777777777779,85.53228376554831,65.09053380778704,117.73295479364316,2024-08-31
"Calhoun County, IL",17013.0,473,3423,56,238,52.44444444444444,379.8888888888889,6.222222222222222,26.444444444444443,89.84809633871565,68.94835234167118,116.8311684470404,2024-08-31
"Carroll County, IL",17015.0,215,1253,14,59,23.77777777777778,138.88888888888889,1.5555555555555556,6.555555555555555,84.29877446735509,64.14963782155515,117.52100157227083,2024-08-31
"Cass County, IL",17017.0,409,2869,39,197,45.333333333333336,318.22222222222223,4.333333333333333,21.88888888888889,88.75102126820299,67.24723859303445,119.36990114911175,2024-08-31
"Champaign County, IL",17019.0,301,1925,18,86,33.333333333333336,213.11111111111111,2.0,9.555555555555555,86.51095727606194,66.01347525917869,117.51513625750344,2024-08-31
"Christian County, IL",17021.0,377,2598,26,134,41.77777777777778,288.0,2.888888888888889,14.88888888888889,88.05478786781725,67.10766352903664,116.29165237446166,2024-08-31
"Clark County, IL",17023.0,366,2437,23,93,40.55555555555556,270.22222222222223,2.5555555555555554,10.333333333333334,87.77071827337234,67.5919008713689,115.81574286976472,2024-08-31
